"GeneSymbol","Name","NCBI_Entrez_ID","HGNC_ID","Ensembl_Gene","Ensembl_Nucleotide","Ensembl_Protein","RefSeq_Nucleotide","RefSeq_Protein","Database","Uniprot_ID"
"PPIAL4E","peptidylprolyl isomerase A like 4E",730262,"HGNC:33997","ENSG00000271567.2","ENST00000581164.2","ENSP00000463419.1","NM_001144032.3","NP_001137504.2","MANE Select","A0A075B759"
"PPIAL4F","peptidylprolyl isomerase A like 4F",728945,"HGNC:33999","ENSG00000279782.3","ENST00000581138.4","ENSP00000485638.1","NM_001164262.3","NP_001157734.2","MANE Select","P0DN26;A0A0H2UH34"
"PPIAL4G","peptidylprolyl isomerase A like 4G",644591,"HGNC:33996","ENSG00000236334.3","ENST00000419275.3","ENSP00000393845.1","NM_001123068.3","NP_001116540.1","MANE Select","P0DN37"
"PPIAL4H","peptidylprolyl isomerase A like 4H",105371242,"HGNC:53889","ENSG00000270339.4","ENST00000584068.4","ENSP00000464619.2","NM_001368128.3","NP_001355057.1","MANE Select","A0A075B767"
"PPIB","peptidylprolyl isomerase B",5479,"HGNC:9255","ENSG00000166794.6","ENST00000300026.4","ENSP00000300026.4","NM_000942.5","NP_000933.1","MANE Select","P23284;A0A7P0T7U3;A0A7P0Z497;A0A7P0TB45"
"PPIC","peptidylprolyl isomerase C",5480,"HGNC:9256","ENSG00000168938.6","ENST00000306442.5","ENSP00000303057.4","NM_000943.5","NP_000934.1","MANE Select","P45877"
"PPID","peptidylprolyl isomerase D",5481,"HGNC:9257","ENSG00000171497.5","ENST00000307720.4","ENSP00000303754.3","NM_005038.3","NP_005029.1","MANE Select","Q08752;H0Y8J0"
"PPIE","peptidylprolyl isomerase E",10450,"HGNC:9258","ENSG00000084072.17","ENST00000324379.10","ENSP00000312769.5","NM_006112.4","NP_006103.1","MANE Select","Q9UNP9;E9PK21;E9PEQ6;E9PMH0;E9PIB0;H0YCV4;E9PKY5"
"PPIF","peptidylprolyl isomerase F",10105,"HGNC:9259","ENSG00000108179.14","ENST00000225174.8","ENSP00000225174.3","NM_005729.4","NP_005720.1","MANE Select","P30405;A0A024QZS4;R4GN99"
"PPIG","peptidylprolyl isomerase G",9360,"HGNC:14650","ENSG00000138398.17","ENST00000260970.8","ENSP00000260970.3","NM_004792.3","NP_004783.2","MANE Select","Q13427;E9PG73;A0A7I2V4W3;C9J679;A0A7I2V629;A0A7I2V5Q5;A0A7I2V4F2"
"PPIH","peptidylprolyl isomerase H",10465,"HGNC:14651","ENSG00000171960.12","ENST00000304979.8","ENSP00000306614.3","NM_006347.4","NP_006338.1","MANE Select","C9JQD4;O43447;A0A7I2V343;Q6FH36;A0A7I2V2H6;A0A7I2V5V0;H0YEL5"
"PPIL1","peptidylprolyl isomerase like 1",51645,"HGNC:9260","ENSG00000137168.8","ENST00000373699.6","ENSP00000362803.5","NM_016059.5","NP_057143.1","MANE Select","Q9Y3C6;A0A024RCX8"
"PPIL2","peptidylprolyl isomerase like 2",23759,"HGNC:9261","ENSG00000100023.20","ENST00000398831.8","ENSP00000381812.3","NM_014337.4","NP_055152.1","MANE Select","Q13356;A0A7P0TAH4;A0A7P0T839;A0A024R1C1;A0A7P0Z4K4;A0A7P0T843;A0A7P0TB19;A0A7P0T8P6;A0A7P0TA15;A0A7P0T896;A0A7P0T8E8;A0A7P0T9A5;A0A7P0TBL3;F8WC56;C9JDF0"
"PPIL3","peptidylprolyl isomerase like 3",53938,"HGNC:9262","ENSG00000240344.9","ENST00000392283.9","ENSP00000376107.4","NM_130906.3","NP_570981.1","MANE Select","Q9H2H8;A0A0S2Z5A8;A0A024R3V4;C9K058;B8ZZ77;F8WC82;C9J4N2;H7BZ14"
"PPIL4","peptidylprolyl isomerase like 4",85313,"HGNC:15702","ENSG00000131013.4","ENST00000253329.3","ENSP00000253329.2","NM_139126.4","NP_624311.1","MANE Select","Q8WUA2;Q5T4S2"
"PPIL6","peptidylprolyl isomerase like 6",285755,"HGNC:21557","ENSG00000185250.16","ENST00000521072.7","ENSP00000427929.1","NM_173672.5","NP_775943.1","MANE Select","Q8IXY8;B4DEK6;H0Y7C3"
"PPIP5K1","diphosphoinositol pentakisphosphate kinase 1",9677,"HGNC:29023","ENSG00000168781.23","ENST00000420765.6","ENSP00000400887.2","NM_001394395.1","NP_001381324.1","MANE Select","Q6PFW1;C9J5E6;A0A2R8YGT1;A0A8J8ZH50;F8W9A8;C9JZX6;B7WPL9;C9J490"
"PPIP5K2","diphosphoinositol pentakisphosphate kinase 2",23262,"HGNC:29035","ENSG00000145725.21","ENST00000358359.8","ENSP00000351126.3","NM_001276277.3","NP_001263206.1","MANE Select","A0A087WZV0;O43314;D6RFG4;K7EJG8;D6RBU4;K7EPT7;H0Y9S9;H0Y9M0"
"PPL","periplakin",5493,"HGNC:9273","ENSG00000118898.16","ENST00000345988.7","ENSP00000340510.2","NM_002705.5","NP_002696.4","MANE Select","O60437;K7EQ71;K7EKI8"
"PPM1A","protein phosphatase, Mg2+/Mn2+ dependent 1A",5494,"HGNC:9275","ENSG00000100614.18","ENST00000395076.9","ENSP00000378514.4","NM_021003.5","NP_066283.1","MANE Select","P35813;A0A024R6A5;E9PKB5;E9PL75;E9PNE1;E9PP44;E9PJN3"
"PPM1B","protein phosphatase, Mg2+/Mn2+ dependent 1B",5495,"HGNC:9276","ENSG00000138032.21","ENST00000282412.9","ENSP00000282412.4","NM_002706.6","NP_002697.1","MANE Select","O75688;C9JIR6;B8ZZF0"
"PPM1D","protein phosphatase, Mg2+/Mn2+ dependent 1D",8493,"HGNC:9277","ENSG00000170836.13","ENST00000305921.8","ENSP00000306682.2","NM_003620.4","NP_003611.1","MANE Select","O15297;A0A0S2Z4W0;A0A8I5KT72;A0A8I5KUX8;A0A0S2Z4M2;A0A8J9C7E3;A0A8I5KUN6;A0A8I5QKP1"
"PPM1E","protein phosphatase, Mg2+/Mn2+ dependent 1E",22843,"HGNC:19322","ENSG00000175175.6","ENST00000308249.4","ENSP00000312411.2","NM_014906.5","NP_055721.3","MANE Select","Q8WY54"
"PPM1F","protein phosphatase, Mg2+/Mn2+ dependent 1F",9647,"HGNC:19388","ENSG00000100034.14","ENST00000263212.10","ENSP00000263212.5","NM_014634.4","NP_055449.1","MANE Select","P49593;A8MX49;B5MCT7;C9JL74;C9J2F3"
"PPM1G","protein phosphatase, Mg2+/Mn2+ dependent 1G",5496,"HGNC:9278","ENSG00000115241.11","ENST00000344034.5","ENSP00000342778.4","NM_177983.3","NP_817092.1","MANE Select","O15355;Q6IAU5"
"PPM1H","protein phosphatase, Mg2+/Mn2+ dependent 1H",57460,"HGNC:18583","ENSG00000111110.12","ENST00000228705.7","ENSP00000228705.5","NM_020700.2","NP_065751.1","MANE Select","Q9ULR3"
"PPM1J","protein phosphatase, Mg2+/Mn2+ dependent 1J",333926,"HGNC:20785","ENSG00000155367.16","ENST00000309276.11","ENSP00000308926.6","NM_005167.7","NP_005158.5","MANE Select","Q5JR12;S4R3C3"
"PPM1K","protein phosphatase, Mg2+/Mn2+ dependent 1K",152926,"HGNC:25415","ENSG00000163644.15","ENST00000608933.6","ENSP00000477341.1","NM_152542.5","NP_689755.3","MANE Select","Q8N3J5;V9GYZ5;A0A0A0MQZ4;V9GY69;V9GYI6;V9GYS8"
"PPM1L","protein phosphatase, Mg2+/Mn2+ dependent 1L",151742,"HGNC:16381","ENSG00000163590.14","ENST00000498165.6","ENSP00000417659.1","NM_139245.4","NP_640338.2","MANE Select","Q5SGD2"
"PPM1M","protein phosphatase, Mg2+/Mn2+ dependent 1M",132160,"HGNC:26506","ENSG00000164088.18","ENST00000323588.9","ENSP00000319894.5","NM_144641.4","NP_653242.3","MANE Select","Q96MI6"
"PPM1N","protein phosphatase, Mg2+/Mn2+ dependent 1N (putative)",147699,"HGNC:26845","ENSG00000213889.11","ENST00000451287.7","ENSP00000397050.2","NM_001080401.2","NP_001073870.1","MANE Select","Q8N819;B5MCQ2;A8MXX7;E7ENL9"
"PPME1","protein phosphatase methylesterase 1",51400,"HGNC:30178","ENSG00000214517.10","ENST00000328257.13","ENSP00000329867.8","NM_016147.3","NP_057231.1","MANE Select","Q9Y570"
"PPOX","protoporphyrinogen oxidase",5498,"HGNC:9280","ENSG00000143224.18","ENST00000367999.9","ENSP00000356978.4","NM_001122764.3","NP_001116236.1","MANE Select","D3DVG2;P50336;A0A494C146;A0A494C1M8;A0A1W2PNH4;F5GZT7;A0A1W2PPA5;A0A1W2PRF9;A0A494C0M9;F5H1I5;A0A1W2PQM0;F5H825;A0A494C134;A0A494C0L4"
"PPP1CA","protein phosphatase 1 catalytic subunit alpha",5499,"HGNC:9281","ENSG00000172531.16","ENST00000376745.9","ENSP00000365936.4","NM_002708.4","NP_002699.1","MANE Select","P62136;A0A7I2V4F7;E9PMD7"
"PPP1CB","protein phosphatase 1 catalytic subunit beta",5500,"HGNC:9282","ENSG00000213639.11","ENST00000395366.3","ENSP00000378769.2","NM_002709.3","NP_002700.1","MANE Select","P62140;V9HW04;F8WE71"
"PPP1CC","protein phosphatase 1 catalytic subunit gamma",5501,"HGNC:9283","ENSG00000186298.12","ENST00000335007.10","ENSP00000335084.5","NM_002710.4","NP_002701.1","MANE Select","A0A024RBP2;P36873;F8VYE8;F8W1A0;F8W0W8;A0A087WYY5;F8VR82"
"PPP1R10","protein phosphatase 1 regulatory subunit 10",5514,"HGNC:9284","ENSG00000204569.10","ENST00000376511.7","ENSP00000365694.2","NM_002714.4","NP_002705.2","MANE Select","Q2L6I0;Q96QC0"
"PPP1R11","protein phosphatase 1 regulatory inhibitor subunit 11",6992,"HGNC:9285","ENSG00000204619.8","ENST00000376772.8","ENSP00000365963.3","NM_021959.3","NP_068778.1","MANE Select","Q5SRK2;A2BEK1;O60927"
"PPP1R12A","protein phosphatase 1 regulatory subunit 12A",4659,"HGNC:7618","ENSG00000058272.19","ENST00000450142.7","ENSP00000389168.2","NM_002480.3","NP_002471.1","MANE Select","O14974;H0YIS4;F8VW28;H0YIL7;H0YHL8;A0A0U1RQZ1;F8VZN8"
"PPP1R12B","protein phosphatase 1 regulatory subunit 12B",4660,"HGNC:7619","ENSG00000077157.22","ENST00000608999.6","ENSP00000476755.1","NM_002481.4","NP_002472.2","MANE Select","O60237;Q6GQY8;E1CKY7;A0A0U1RQI8"
"PPP1R12C","protein phosphatase 1 regulatory subunit 12C",54776,"HGNC:14947","ENSG00000125503.13","ENST00000263433.8","ENSP00000263433.1","NM_017607.4","NP_060077.1","MANE Select","Q9BZL4"
"PPP1R13B","protein phosphatase 1 regulatory subunit 13B",23368,"HGNC:14950","ENSG00000088808.18","ENST00000202556.14","ENSP00000202556.9","NM_015316.3","NP_056131.2","MANE Select","Q96KQ4;G3V2L3;A0A3B3ISJ2;G3V5J1;G3V3S2"
"PPP1R13L","protein phosphatase 1 regulatory subunit 13 like",10848,"HGNC:18838","ENSG00000104881.16","ENST00000360957.10","ENSP00000354218.4","NM_006663.4","NP_006654.2","MANE Select","Q8WUF5;A0A024R0Q5;K7EPP1;K7EN03;K7EML6"
"PPP1R14A","protein phosphatase 1 regulatory inhibitor subunit 14A",94274,"HGNC:14871","ENSG00000167641.11","ENST00000301242.9","ENSP00000301242.3","NM_033256.3","NP_150281.1","MANE Select","Q96A00;K7EJB8;K7EMN0;A0A0B4J2A3"
"PPP1R14B","protein phosphatase 1 regulatory inhibitor subunit 14B",26472,"HGNC:9057","ENSG00000173457.11","ENST00000309318.8","ENSP00000310117.3","NM_138689.3","NP_619634.1","MANE Select","Q96C90;F5H2U0;F5GXC4"
"PPP1R14C","protein phosphatase 1 regulatory inhibitor subunit 14C",81706,"HGNC:14952","ENSG00000198729.5","ENST00000361131.5","ENSP00000355260.4","NM_030949.3","NP_112211.1","MANE Select","Q8TAE6"
"PPP1R14D","protein phosphatase 1 regulatory inhibitor subunit 14D",54866,"HGNC:14953","ENSG00000166143.10","ENST00000299174.10","ENSP00000299174.6","NM_017726.8","NP_060196.1","MANE Select","Q9NXH3;E9PAT1"
"PPP1R15A","protein phosphatase 1 regulatory subunit 15A",23645,"HGNC:14375","ENSG00000087074.8","ENST00000200453.6","ENSP00000200453.4","NM_014330.5","NP_055145.3","MANE Select","O75807"
"PPP1R15B","protein phosphatase 1 regulatory subunit 15B",84919,"HGNC:14951","ENSG00000158615.10","ENST00000367188.5","ENSP00000356156.4","NM_032833.5","NP_116222.4","MANE Select","A0A8I5KSH1;A0A8I5KV52;A0A8I5KUJ3"
"PPP1R16A","protein phosphatase 1 regulatory subunit 16A",84988,"HGNC:14941","ENSG00000160972.10","ENST00000435887.2","ENSP00000391126.1","NM_001329443.2","NP_001316372.1","MANE Select","Q96I34;A0A087WWZ0"
"PPP1R16B","protein phosphatase 1 regulatory subunit 16B",26051,"HGNC:15850","ENSG00000101445.10","ENST00000299824.6","ENSP00000299824.1","NM_015568.4","NP_056383.1","MANE Select","Q96T49"
"PPP1R17","protein phosphatase 1 regulatory subunit 17",10842,"HGNC:16973","ENSG00000106341.11","ENST00000342032.8","ENSP00000340125.3","NM_006658.5","NP_006649.2","MANE Select","O96001;A0A090N8N7"
"PPP1R18","protein phosphatase 1 regulatory subunit 18",170954,"HGNC:29413","ENSG00000146112.12","ENST00000274853.8","ENSP00000274853.3","NM_133471.4","NP_597728.1","MANE Select","A0A0G2JKF1;Q6NYC8;A0A0G2JHC2"
"PPP1R1A","protein phosphatase 1 regulatory inhibitor subunit 1A",5502,"HGNC:9286","ENSG00000135447.17","ENST00000257905.13","ENSP00000257905.8","NM_006741.4","NP_006732.3","MANE Select","R4GMQ8;F8VR76"
"PPP1R1B","protein phosphatase 1 regulatory inhibitor subunit 1B",84152,"HGNC:9287","ENSG00000131771.14","ENST00000254079.9","ENSP00000254079.4","NM_032192.4","NP_115568.2","MANE Select","Q9UD71;A0A024R1R3;B3KVQ9;J3KT77;J3KSJ8"
"PPP1R1C","protein phosphatase 1 regulatory inhibitor subunit 1C",151242,"HGNC:14940","ENSG00000150722.11","ENST00000682840.1","ENSP00000507052.1","NM_001080545.3","NP_001074014.1","MANE Select","Q8WVI7"
"PPP1R2","protein phosphatase 1 regulatory inhibitor subunit 2",5504,"HGNC:9288","ENSG00000184203.8","ENST00000618156.5","ENSP00000484580.1","NM_006241.8","NP_006232.1","MANE Select","P41236;E7EUI7;H7C416;E7EMN6"
"PPP1R21","protein phosphatase 1 regulatory subunit 21",129285,"HGNC:30595","ENSG00000162869.16","ENST00000294952.13","ENSP00000294952.8","NM_001135629.3","NP_001129101.1","MANE Select","Q6ZMI0;F8WBY8;F8WE40;F8W7E1"
"PPP1R26","protein phosphatase 1 regulatory subunit 26",9858,"HGNC:29089","ENSG00000196422.11","ENST00000356818.7","ENSP00000349274.2","NM_014811.5","NP_055626.3","MANE Select","Q5T8A7"
"PPP1R27","protein phosphatase 1 regulatory subunit 27",116729,"HGNC:16813","ENSG00000182676.5","ENST00000330261.5","ENSP00000331065.4","NM_001007533.4","NP_001007534.1","MANE Select","Q86WC6;I3L267"
"PPP1R2B","PPP1R2 family member B",153743,"HGNC:16318","ENSG00000231989.5","ENST00000522232.3","ENSP00000490297.1","NM_206858.3","NP_996740.2","MANE Select","Q6NXS1"
"PPP1R2C","PPP1R2C family member C",80316,"HGNC:16324","ENSG00000102055.7","ENST00000378131.4","ENSP00000490336.1","NM_025210.2","NP_079486.1","MANE Select","O14990"
"PPP1R32","protein phosphatase 1 regulatory subunit 32",220004,"HGNC:28869","ENSG00000162148.11","ENST00000338608.7","ENSP00000344140.2","NM_145017.3","NP_659454.2","MANE Select","G3F4G3;Q7Z5V6;H0YFZ1;F5H272;F5GZJ9;H0YF82"
"PPP1R35","protein phosphatase 1 regulatory subunit 35",221908,"HGNC:28320","ENSG00000160813.7","ENST00000292330.3","ENSP00000292330.2","NM_145030.4","NP_659467.1","MANE Select","Q8TAP8"
"PPP1R36","protein phosphatase 1 regulatory subunit 36",145376,"HGNC:20097","ENSG00000165807.8","ENST00000298705.6","ENSP00000298705.1","NM_172365.3","NP_758953.1","MANE Select","Q96LQ0;G3V4N3;E9PLB5;G3V5S6"
"PPP1R37","protein phosphatase 1 regulatory subunit 37",284352,"HGNC:27607","ENSG00000104866.11","ENST00000221462.9","ENSP00000221462.3","NM_019121.2","NP_061994.1","MANE Select","O75864;F5H3P7"
"PPP1R3A","protein phosphatase 1 regulatory subunit 3A",5506,"HGNC:9291","ENSG00000154415.8","ENST00000284601.4","ENSP00000284601.3","NM_002711.4","NP_002702.2","MANE Select","Q16821;C9JZB3"
"PPP1R3B","protein phosphatase 1 regulatory subunit 3B",79660,"HGNC:14942","ENSG00000173281.5","ENST00000310455.4","ENSP00000308318.3","NM_024607.4","NP_078883.2","MANE Select","Q86XI6"
"PPP1R3C","protein phosphatase 1 regulatory subunit 3C",5507,"HGNC:9293","ENSG00000119938.9","ENST00000238994.6","ENSP00000238994.5","NM_005398.7","NP_005389.1","MANE Select","Q9UQK1"
"PPP1R3D","protein phosphatase 1 regulatory subunit 3D",5509,"HGNC:9294","ENSG00000132825.7","ENST00000370996.5","ENSP00000360035.3","NM_006242.4","NP_006233.1","MANE Select","O95685"
"PPP1R3E","protein phosphatase 1 regulatory subunit 3E",90673,"HGNC:14943","ENSG00000235194.9","ENST00000452015.9","ENSP00000408288.3","NM_001276318.2","NP_001263247.1","MANE Select","Q9H7J1;H0YM26;H0YMB9"
"PPP1R3F","protein phosphatase 1 regulatory subunit 3F",89801,"HGNC:14944","ENSG00000049769.14","ENST00000055335.11","ENSP00000055335.6","NM_033215.5","NP_149992.3","MANE Select","Q6ZSY5"
"PPP1R3G","protein phosphatase 1 regulatory subunit 3G",648791,"HGNC:14945","ENSG00000219607.4","ENST00000405617.4","ENSP00000393832.2","NM_001145115.3","NP_001138587.1","MANE Select","B7ZBB8"
"PPP1R42","protein phosphatase 1 regulatory subunit 42",286187,"HGNC:33732","ENSG00000178125.15","ENST00000685739.1","ENSP00000508980.1","NM_001364910.1","NP_001351839.1","MANE Select","Q7Z4L9;A0A8I5KP60"
"PPP1R7","protein phosphatase 1 regulatory subunit 7",5510,"HGNC:9295","ENSG00000115685.15","ENST00000234038.11","ENSP00000234038.6","NM_002712.3","NP_002703.1","MANE Select","A0A140VK83;Q15435;C9JD73;H7C118;C9J177;B5MBZ8;C9JRC4"
"PPP1R8","protein phosphatase 1 regulatory subunit 8",5511,"HGNC:9296","ENSG00000117751.18","ENST00000311772.10","ENSP00000311677.5","NM_014110.5","NP_054829.2","MANE Select","Q12972;Q6ICT4;A0A0A0MT09"
"PPP1R9A","protein phosphatase 1 regulatory subunit 9A",55607,"HGNC:14946","ENSG00000158528.12","ENST00000433360.6","ENSP00000405514.1","NM_001166160.2","NP_001159632.1","MANE Select","Q9ULJ8;C9J3G5;C9J730"
"PPP1R9B","protein phosphatase 1 regulatory subunit 9B",84687,"HGNC:9298","ENSG00000108819.11","ENST00000612501.2","ENSP00000478767.1","NM_032595.5","NP_115984.3","MANE Select","Q96SB3"
"PPP2CA","protein phosphatase 2 catalytic subunit alpha",5515,"HGNC:9299","ENSG00000113575.11","ENST00000481195.6","ENSP00000418447.1","NM_002715.4","NP_002706.1","MANE Select","P67775;B3KUN1;E7ESG8"
"PPP2CB","protein phosphatase 2 catalytic subunit beta",5516,"HGNC:9300","ENSG00000104695.13","ENST00000221138.9","ENSP00000221138.4","NM_001009552.2","NP_001009552.1","MANE Select","P62714;H0YC23;E5RFI3;E5RHC1;E5RJX4"
"PPP2R1A","protein phosphatase 2 scaffold subunit Aalpha",5518,"HGNC:9302","ENSG00000105568.18","ENST00000322088.11","ENSP00000324804.6","NM_014225.6","NP_055040.2","MANE Select","P30153;B3KQV6;A8K7B7;M0QXG4;M0R0K6"
"PPP2R1B","protein phosphatase 2 scaffold subunit Abeta",5519,"HGNC:9303","ENSG00000137713.16","ENST00000527614.6","ENSP00000437193.1","NM_002716.5","NP_002707.3","MANE Select","P30154;E9PNM7;E9PPI5;E9PHZ6"
"PPP2R2A","protein phosphatase 2 regulatory subunit Balpha",5520,"HGNC:9304","ENSG00000221914.11","ENST00000380737.8","ENSP00000370113.3","NM_002717.4","NP_002708.1","MANE Select","P63151;A0A590UJY3;E5RJV2;E5RIY1;A0A590UJJ1;E5RFR9;E5RHQ2"
"PPP2R2B","protein phosphatase 2 regulatory subunit Bbeta",5521,"HGNC:9305","ENSG00000156475.19","ENST00000394411.9","ENSP00000377933.3","NM_181675.4","NP_858061.3","MANE Select","Q00005;E9PCT7;E5RFC4;D6RGF9;D6RF04;D6RB57"
"PPP2R2C","protein phosphatase 2 regulatory subunit Bgamma",5522,"HGNC:9306","ENSG00000074211.14","ENST00000382599.9","ENSP00000372042.4","NM_020416.4","NP_065149.2","MANE Select","Q9Y2T4;D6R943"
"PPP2R2D","protein phosphatase 2 regulatory subunit Bdelta",55844,"HGNC:23732","ENSG00000175470.20","ENST00000455566.6","ENSP00000399970.2","NM_018461.5","NP_060931.2","MANE Select","Q66LE6;A0A3B3IRK1;A0A096LPI9;A0A0A6YYD6"
"PPP2R3A","protein phosphatase 2 regulatory subunit B''alpha",5523,"HGNC:9307","ENSG00000073711.11","ENST00000264977.8","ENSP00000264977.3","NM_002718.5","NP_002709.2","MANE Select","Q06190"
"PPP2R3B","protein phosphatase 2 regulatory subunit B''beta",28227,"HGNC:13417","ENSG00000167393.18","ENST00000390665.9","ENSP00000375080.3","NM_013239.5","NP_037371.2","MANE Select","Q9Y5P8;C9JMU6;A0A0G2JNR6;A0A0G2JN52"
"PPP2R3C","protein phosphatase 2 regulatory subunit B''gamma",55012,"HGNC:17485","ENSG00000092020.11","ENST00000261475.10","ENSP00000261475.5","NM_017917.4","NP_060387.2","MANE Select","G3V228;Q969Q6;Q86US5;G3V5U8;A0A0C4DGK2;G3V2K1;G3V3V5;G3V561;G3V3T9;H0YJV0"
"PPP2R5A","protein phosphatase 2 regulatory subunit B'alpha",5525,"HGNC:9309","ENSG00000066027.12","ENST00000261461.7","ENSP00000261461.2","NM_006243.4","NP_006234.1","MANE Select","Q15172"
"PPP2R5B","protein phosphatase 2 regulatory subunit B'beta",5526,"HGNC:9310","ENSG00000068971.14","ENST00000164133.7","ENSP00000164133.2","NM_006244.4","NP_006235.1","MANE Select","Q15173;A0A024R593;E9PQN5;E9PNY3"
"PPP2R5C","protein phosphatase 2 regulatory subunit B'gamma",5527,"HGNC:9311","ENSG00000078304.20","ENST00000694906.1","ENSP00000511581.1","NM_001352913.2","NP_001339842.1","MANE Select","Q13362;Q96B13;H0YN58;G3V292;H0YNJ3;H0YK25;H0YJ35;H0YJU0;H0YN84;G3V2U3;H0YNR8;H0YJZ3;G3V5T2"
"PPP2R5D","protein phosphatase 2 regulatory subunit B'delta",5528,"HGNC:9312","ENSG00000112640.16","ENST00000485511.6","ENSP00000417963.1","NM_006245.4","NP_006236.1","MANE Select","Q14738;A0A024RD11;E9PFR3;H7C5Z1"
"PPP2R5E","protein phosphatase 2 regulatory subunit B'epsilon",5529,"HGNC:9313","ENSG00000154001.14","ENST00000337537.8","ENSP00000337641.3","NM_006246.5","NP_006237.1","MANE Select","Q16537"
"PPP3CA","protein phosphatase 3 catalytic subunit alpha",5530,"HGNC:9314","ENSG00000138814.17","ENST00000394854.8","ENSP00000378323.3","NM_000944.5","NP_000935.1","MANE Select","Q08209;E7ETC2;A0A0S2Z4B5;A0A0S2Z4C6;E9PPC8;E9PK68"
"PPP3CB","protein phosphatase 3 catalytic subunit beta",5532,"HGNC:9315","ENSG00000107758.16","ENST00000360663.10","ENSP00000353881.5","NM_021132.4","NP_066955.1","MANE Select","P16298;Q5F2F8;Q5F2G0"
"PPP3CC","protein phosphatase 3 catalytic subunit gamma",5533,"HGNC:9316","ENSG00000120910.15","ENST00000240139.10","ENSP00000240139.5","NM_005605.5","NP_005596.2","MANE Select","P48454;G3V111;H0YB02;E5RJH4"
"PPP3R1","protein phosphatase 3 regulatory subunit B, alpha",5534,"HGNC:9317","ENSG00000221823.11","ENST00000234310.8","ENSP00000234310.3","NM_000945.4","NP_000936.1","MANE Select","P63098;F6U1T9;D3YTA9"
"PPP3R2","protein phosphatase 3 regulatory subunit B, beta",5535,"HGNC:9318","ENSG00000188386.8","ENST00000374806.2","ENSP00000363939.2","NM_147180.4","NP_671709.2","MANE Select","Q96LZ3;A0A1B0GUC7"
"PPP4C","protein phosphatase 4 catalytic subunit",5531,"HGNC:9319","ENSG00000149923.14","ENST00000279387.12","ENSP00000279387.7","NM_002720.3","NP_002711.1","MANE Select","P60510;H3BPN5;I3L4X0;A0A024R625;H3BTA2;H3BV22;H3BVE3"
"PPP4R1","protein phosphatase 4 regulatory subunit 1",9989,"HGNC:9320","ENSG00000154845.16","ENST00000400556.8","ENSP00000383402.3","NM_001042388.3","NP_001035847.1","MANE Select","Q8TF05;J3QRV2;J3QQV0;J3QLA6;J3KRU1;F8WAJ9;J3KSS1;J3KSB0;J3QL26"
"PPP4R2","protein phosphatase 4 regulatory subunit 2",151987,"HGNC:18296","ENSG00000163605.15","ENST00000356692.10","ENSP00000349124.5","NM_174907.4","NP_777567.1","MANE Select","C9IZF4;Q9NY27;F8WDK3;F8WCA1;C9IZ04"
"PPP4R3A","protein phosphatase 4 regulatory subunit 3A",55671,"HGNC:20219","ENSG00000100796.18","ENST00000554943.6","ENSP00000450883.1","NM_001366432.2","NP_001353361.1","MANE Select","Q6IN85;A0A024R6M2;G3V5Z3;G3V4R3;G3V231;G3V5A2"
"PPP4R3B","protein phosphatase 4 regulatory subunit 3B",57223,"HGNC:29267","ENSG00000275052.5","ENST00000616407.2","ENSP00000483228.1","NM_001122964.3","NP_001116436.3","MANE Select","Q5MIZ7"
"PPP4R3C","protein phosphatase 4 regulatory subunit 3C",139420,"HGNC:33146","ENSG00000224960.5","ENST00000412172.4","ENSP00000489770.1","NM_207319.4","NP_997202.3","MANE Select","Q6ZMV5"
"PPP4R4","protein phosphatase 4 regulatory subunit 4",57718,"HGNC:23788","ENSG00000119698.12","ENST00000304338.8","ENSP00000305924.3","NM_058237.2","NP_478144.1","MANE Select","G3V516;Q6NUP7;G3V431;G3V422"
"PPP5C","protein phosphatase 5 catalytic subunit",5536,"HGNC:9322","ENSG00000011485.15","ENST00000012443.9","ENSP00000012443.4","NM_006247.4","NP_006238.1","MANE Select","Q9BPW0;P53041;A8MU39;A0A024R0Q7"
"PPP6C","protein phosphatase 6 catalytic subunit",5537,"HGNC:9323","ENSG00000119414.12","ENST00000373547.9","ENSP00000362648.4","NM_002721.5","NP_002712.1","MANE Select","O00743;A0A024R861;Q5T1S7"
"PPP6R1","protein phosphatase 6 regulatory subunit 1",22870,"HGNC:29195","ENSG00000105063.19","ENST00000412770.7","ENSP00000414202.1","NM_014931.4","NP_055746.3","MANE Select","Q9UPN7;K7EM28"
"PPP6R2","protein phosphatase 6 regulatory subunit 2",9701,"HGNC:19253","ENSG00000100239.16","ENST00000612753.5","ENSP00000478417.1","NM_001242898.2","NP_001229827.1","MANE Select","O75170"
"PPP6R3","protein phosphatase 6 regulatory subunit 3",55291,"HGNC:1173","ENSG00000110075.15","ENST00000393800.7","ENSP00000377389.2","NM_001164161.2","NP_001157633.1","MANE Select","A0A024R5F3;Q5H9R7;E9PJD8;H7BXH2;E9PKG4;E9PQP7;E9PKF6;H0YEN2;E9PNN8;E9PK08"
"PPRC1","PPARG related coactivator 1",23082,"HGNC:30025","ENSG00000148840.11","ENST00000278070.7","ENSP00000278070.2","NM_015062.5","NP_055877.3","MANE Select","Q5VV67;X6R7H2;E7EVG6"
